# Game Trainer

## Examine
GameTrainer.GetExamineMessages.YouTarget:	You target [{0}].
GameTrainer.GetExamineMessages.RightClick:	[Right click to display a train window]
GameTrainer.GetExamineMessages.YouExamine:	You examine {0}. {1} is {2} and trains members of the {3} class.

## Advanced Class
GameTrainer.PromotePlayer.Says:			    {0} says, "{1}"
GameTrainer.PromotePlayer.Accepted:		    You have been accepted by the {0}!
GameTrainer.PromotePlayer.Upgraded:		    You have been upgraded to the {0} class!

## Respec
GameTrainer.Interact.Respecialize:		    {0} says, "{1}, if you wish, I can undo the training you've done so far and give you the ability to train again. This would allow you to [respecialize] your skills. If you are interested, you must simply let me know."
GameTrainer.Interact.CaseRespecialize:		respecialize
GameTrainer.CheckAbilityToUseItem.Text1:	You no longer have the ability to use {0}.
GameTrainer.ReceiveItem.RespecFull:		    A nice {0}! I added a full respec to use /respec all.
GameTrainer.ReceiveItem.RespecRealm:		Thanks, I added a realm respec to use /respec realm.
GameTrainer.ReceiveItem.RespecSingle:		Thanks, I added a single spec respec to use /respec <linename>
GameTrainer.Interact.RegainPoints:		    You regain {0} specialization points!
GamePlayer.RemoveAbility.YouLose:				You lose the {0} ability!
GamePlayer.RemoveSpecialization.YouLose:		You lose the {0} skill!
GamePlayer.RemoveSpellLine.YouLose:				You lose the {0} spell line!

## Training
GameTrainer.Train.WouldYouLikeTo:		    Would you like to do some training?
GameTrainer.Train.SeekElsewhere:		    You must seek elsewhere for your training.
GameTrainer.AddGift.NotEnoughSpace:		    Not Space inventory space to receive your gift. Please make room.
GamePlayer.GainExperience.TalkToTrainer:		Talk to your trainer for more information.
StarterTrainer.SeekTrainingElsewhere:		{0} says, "You must now seek your training elsewhere. Which path would you like to follow? {1}?"
StarterTrainer.PracticeWeapon:				{0} says, "Do you require a [practice weapon]?"
StarterTrainer.TrainingShield:				{0} says, "Do you require a [training shield]?"
StarterTrainer.PracticeBranch:				{0} says, "Do you require a [practice branch]?"
StarterTrainer.PracticeStaff:				{0} says, "Do you require a [practice staff]?"
StarterTrainer.ClassInfoUnavailable:		{0} says, "I cannot tell you more about this class yet."
StarterTrainer.ClassUnavailable:			{0} says, "The path of a {1} is not available to your race. Please choose another."
AcolyteTrainer.ClassInfo.Cleric:			So, you wish to serve the Church as healer, defender and leader of our faith. The Church of Albion will welcome one of your skill. Perhaps in time, your commitment will lead others to join our order.
AcolyteTrainer.ClassInfo.Friar:			As a member of the brotherhood, you will find more than a community if you join the Defenders of Albion. Deadly with a quarterstaff and skilled at healing wounds, the army is always in need of recruits like you.
AlbionTrainer.JoinDefendPrompt:			{0} says, "Do you desire to [{1}] and defend our realm as a {2}?"
AlbionTrainer.JoinAcademyWizard:			{0} says, "Do you desire to [{1}] and summon the power of the elements as a Wizard?"
AlbionTrainer.JoinAcademySorcerer:		{0} says, "Is it your wish to [{1}] and lend us your power as a Sorcerer?"
AlbionTrainer.JoinAcademyMinstrel:		{0} says, "Do you desire to [{1}] and sing our song throughout Albion as a Minstrel?"
AlbionTrainer.JoinGuildCabalist:			{0} says, "Do you desire to [{1}] and become a Cabalist? Your constructs would put fear into the hearts of all who oppose us!"
AlbionTrainer.JoinGuildMercenary:		{0} says, "Do you wish to [{1}] and seek your fortune as a Mercenary?"
AlbionTrainer.JoinGuildInfiltrator:		{0} says, "You have come far to find us! Is it your wish to [{1}] and become our dagger of the night? An Infiltrator!"
AlbionTrainer.JoinIronFist:				{0} says, "Do you desire to [{1}] and fight for the glorious realm of Albion?"
AlbionTrainer.JoinChurchCleric:			{0} says, "Do you desire to [{1}] and walk the path of a Cleric?"
AlbionTrainer.ReaverPrompt:				{0} says, "Have you come to seek admittance into the [Temple of Arawn] and worship the old god your ancestors worshipped?"
AlbionTrainer.PaladinPrompt:				{0} says, "The church has called out to you, young warrior! Will you hear its calling and [join the Church of Albion], walking the path of a Paladin forever?"
