# Housing

## Details
House.DBHousePermissions.AccessLevel:			Access level {0}
House.Edit.NotEnoughMoney:				You don't have enough money to do that!
House.Edit.PayForChanges:				You pay {0} for your changes.
House.SendHouseInfo.DoorMaterial:			-Door: {0}
House.SendHouseInfo.ExteriorMaterials:			Exterior Materials:
House.SendHouseInfo.ExteriorUpgrades:			Exterior Upgrades:
House.SendHouseInfo.HouseOwner:				{0}'s house
House.SendHouseInfo.IndoorGuildBanner:			-Banner: {0}
House.SendHouseInfo.IndoorGuildShield:			-Shield: {0}
House.SendHouseInfo.InteriorCarpets:			Interior Carpets:
House.SendHouseInfo.InteriorUpgrades:			Interior Upgrades:
House.SendHouseInfo.Level:				Level: {0}
House.SendHouseInfo.Lockbox:				Lockbox: {0}
House.SendHouseInfo.Lotnum:				Lot #: {0}
House.SendHouseInfo.MaxLockbox:				Max in Lockbox: {0}
House.SendHouseInfo.OutdoorGuildBanner:			-Banner: {0}
House.SendHouseInfo.OutdoorGuildShield:			-Shield: {0}
House.SendHouseInfo.Owner:				Owner: {0}
House.SendHouseInfo.Owners:				Owners:
House.SendHouseInfo.Porch:				Porch:
House.SendHouseInfo.PorchEnabled:			-Enabled: {0}
House.SendHouseInfo.PorchMaterial:			-Porch: {0}
House.SendHouseInfo.PorchRoofColor:			-Color: {0}
House.SendHouseInfo.RentalPrice:			Rental Price: {0}
House.SendHouseInfo.RentDueIn:				Rent due in: {0} day(s), {1} hour(s)
House.SendHouseInfo.RoofMaterial:			-Roof: {0}
House.SendHouseInfo.Rug1Color:				-First Color: {0}
House.SendHouseInfo.Rug2Color:				-Second Color: {0}
House.SendHouseInfo.Rug3Color:				-Third Color: {0}
House.SendHouseInfo.Rug4Color:				-Fourth Color: {0}
House.SendHouseInfo.TrussMaterial:			-Support: {0}
House.SendHouseInfo.WallMaterial:			-Wall: {0}
House.SendHouseInfo.WindowMaterial:			-Shutter: {0}

## House Management
HousingDecorationRotate.Rotated:			Interior decoration rotated from {0} degrees to {1}.
# /HousingPlaceItemHandler
Scripts.Player.Housing.BadShieldBanner:			That is not a valid shield or banner object.
Scripts.Player.Housing.CantBeSold:			This item cannot be sold!
Scripts.Player.Housing.CarpetsRemoved:			Your carpets have been removed.
Scripts.Player.Housing.ClearHookPoint: 			Would you like to clear the current hookpoint?
Scripts.Player.Housing.ActionErrorLogged:		Error processing housing action; the error has been logged!
Scripts.Player.Housing.CannotAddConsignmentHere:	You cannot add a consignment merchant here.
Scripts.Player.Housing.EnteredHouse:			You have entered house number {0}.
Scripts.Player.Housing.EmptyConsignmentBeforeRemoval:	All items and money must be removed from your consignment merchant in order to remove this house!
Scripts.Player.Housing.GardenItemPlaced:		Garden object placed. {0} slots remaining.
Scripts.Player.Housing.GardenItemPlacedName:		You have placed {0} in your garden.
Scripts.Player.Housing.GardenMaxObjects:		You have already placed 30 objects in your garden. You cannot place more.
Scripts.Player.Housing.GardenObjectRemoved:		Garden object removed.
Scripts.Player.Housing.GuildNowOwns:			[Guild] {0} now owns a guild house from {1}!
Scripts.Player.Housing.GuildAlreadyOwnsHouse:		Your guild already owns a house.
Scripts.Player.Housing.HookPointAddError:		Error adding position {0}, error recorded in server error log.
Scripts.Player.Housing.HookPointAdded:			That item has been added to your house.
Scripts.Player.Housing.HookPointAlready: 		That hookpoint already has an item!
Scripts.Player.Housing.HookPointCleared: 		The hookpoint has been cleared.
Scripts.Player.Housing.HookPointCloser:			Stand as close to the hookpoint as possible, face the proper direction, and press accept.
Scripts.Player.Housing.HookPointID:			The hookpoint ID is: {0}
Scripts.Player.Housing.HookPointIdNull:			Error: hookpoint id was null.
Scripts.Player.Housing.HookPointLogged:			Logged hookpoint position {0}!
Scripts.Player.Housing.HookPointLogLoc:			Log this housepoint location?
Scripts.Player.Housing.HookPointNot:			That is not a hookpoint item!
Scripts.Player.Housing.HookPointNotPlaced:		That hookpoint item was not placed.
Scripts.Player.Housing.HookPointUnknown:		This hookpoint position is unknown, error logged.
Scripts.Player.Housing.HouseNotYours:			You do not own this house.
Scripts.Player.Housing.HouseRemovalWarning:		WARNING: You are about to delete this house and all indoor and outdoor items attached to it!
Scripts.Player.Housing.HouseRemoved:			Your house has been removed!
