# Languages
System.LanguagesName.EN:				English
System.LanguagesName.IT:				Italian
System.LanguagesName.FR:				French
System.LanguagesName.DE:				German
System.LanguagesName.KR:				Korean

# System
System.NoSense:								That would make no sense!
System.MustSelectTarget:					You must select a target!
System.ReleaseTimer:						Release Timer
Weather.StormCloudsDisperse:                The sky clears up again as the storm clouds disperse!

# PlayerMovementComponent
PlayerMovementComponent.Encumbered:			You are encumbered.

# GameGraveStone
GameGravestone.GameGravestone.Grave:			{0}'s Grave

# GameGuard
GameGuard.GetExamineMessages.Examine:			You examine the {0}. {1} is {2} and is a guard.

# GAMESTAICITEM
GameStaticItem.GetName.Article1:			The {0}
GameStaticItem.GetName.Article2:			the {0}

# ServerRules
ServerRules.Attack.Self:                    You can't attack yourself!
ServerRules.Attack.RealmMember:             You can't attack a member of your realm!
ServerRules.Attack.NoPlayerAttack:          You can not attack other players on this server!
ServerRules.Attack.GroupMember:             You can't attack your group members.
ServerRules.Attack.GuildMember:             You can't attack your guild members.
ServerRules.Attack.BattlegroupMember:       You can't attack a member of your battlegroup.
ServerRules.Attack.SafeZone:                You're currently in a safe zone, you can't attack other players here.
ServerRules.Attack.FriendlyNpc:             You can't attack a friendly NPC!
ServerRules.Attack.TargetEnteringGame:      {0} is entering the game and is temporarily immune to PvP attacks!
ServerRules.Attack.AttackerInvulnerablePlayers: You can't attack players until your PvP invulnerability timer wears off!
ServerRules.Attack.TargetInvulnerable:      {0} is temporarily immune to PvP attacks!
ServerRules.Attack.AttackerInvulnerable:    You can't attack until your PvP invulnerability timer wears off!
ServerRules.Attack.ShadowedNecromancer:     You can't attack a shadowed necromancer!
ServerRules.Realm.NotMember:                {0} is not a member of your realm!
ServerRules.Group.OtherRealm:               You can't group with a player from another realm!
ServerRules.Trade.EnemyRealm:               You can't trade with enemy realm!
ServerRules.Speak.WhileDead:                Hmmmm...you can't {0} while dead!
ServerRules.PvP.InvulnerabilityExpiredSafetyOn: Your temporary invulnerability timer has expired, but your /safety flag is still on.
ServerRules.PvP.InvulnerabilityExpired:     Your temporary invulnerability timer has expired.
