# Gamemaster Commands
GMCommands.Error:							오류: {0}

## /addbind
GMCommands.AddBind.Description:				게임에 바인드 지점을 추가합니다.
GMCommands.AddBind.Usage:					/addbind [radius=750]
GMCommands.AddBind.BindPointAdded:			바인드 지점 추가됨: X={0}, Y={1}, Z={2}, Radius={3}, Region={4}

## /addhookpoint
GMCommands.HookPoint.Description:			요새 구성 요소에 후크 지점을 추가합니다.
GMCommands.HookPoint.Usage:					후크 지점을 추가하려면 '/addhookpoint <skin> <id>'를 사용하세요(GameKeepComponent 선택).
GMCommands.HookPoint.NoGKCTarget:			GameKeepComponent를 대상으로 지정하고 있지 않습니다!

## /announce
GMCommands.Announce.Description:			온라인 상태인 모든 플레이어에게 메시지를 보냅니다
GMCommands.Announce.Usage:					/announce <log|window|send|center|confirm> <message>
GMCommands.Announce.LogAnnounce:			[공지]: {0}
GMCommands.Announce.WindowAnnounce:			{0}님의 공지
GMCommands.Announce.SendAnnounce:			[공지]: {0}
GMCommands.Announce.ConfirmAnnounce:		{0}님의 공지: {1}

## /area
GMCommands.Area.Description:				영역 관리를 돕는 다양한 명령어입니다
GMCommands.Area.Usage.Create:				/area create <name> <type(circle|square|safe|bind)> <radius> <broadcast(y|n)> <soundid>
GMCommands.Area.AreaCreated:				영역 생성됨 - Description: {0}, X={1}, Y={2}, Z={3}, Radius={4}, Broadcast={5}, Sound={6}.

## /ban
GMCommands.Ban.Description:					/ban 명령어 사용법:
GMCommands.Ban.Usage.IP:					'/ban ip <account or player name> <reason>' - 지정한 IP 주소를 차단합니다.
GMCommands.Ban.Usage.Account:				'/ban account <player name> <reason>' - 지정한 계정을 차단합니다.
GMCommands.Ban.Usage.Both:					'/ban both <player name> <reason>' - 지정한 계정과 연결된 IP 주소를 차단합니다.
GMCommands.Ban.UnableToFindPlayer:			지정한 플레이어를 찾을 수 없습니다!
GMCommands.Ban.AAlreadyBanned:				이 계정은 이미 차단되어 있습니다.
GMCommands.Ban.ABanned:						계정 {0}이(가) 차단되었습니다!
GMCommands.Ban.IAlreadyBanned:				이 IP는 이미 차단되어 있습니다.
GMCommands.Ban.IBanned:						IP {0}이(가) 차단되었습니다!
GMCommands.Ban.BAlreadyBanned:				이 계정과 IP 주소는 이미 차단되어 있습니다.
GMCommands.Ban.BBanned:						계정 {0} 및 IP {1}이(가) 차단되었습니다!

## /cast
GMCommands.Cast.Description:            주문/효과/소리를 시전합니다
GMCommands.Cast.Usage:                  '/cast <effect|cast|spell|sound|style> <id>' <id>에 연결된 Spell/VisualEffect/Sound를 시전합니다
GMCommands.Cast.InvalidId:               잘못된 ID입니다.
GMCommands.Cast.IdNegative:               ID는 음수일 수 없습니다.
GMCommands.Cast.EffectExecuted:            효과 애니메이션을 실행했습니다. Id={0}
GMCommands.Cast.CastExecuted:            시전 애니메이션을 실행했습니다. Id={0}
GMCommands.Cast.SoundPlayed:            소리를 재생했습니다. Id={0}
GMCommands.Cast.Spell.CastOnLiving:         {1}에게 {0}을(를) 시전했습니다.
GMCommands.Cast.Spell.CastOnSelf:         자신에게 {0}을(를) 시전했습니다.
GMCommands.Cast.Spell.GMCastOnYou:         {0} {1}님이 당신에게 {2}을(를) 시전했습니다.
GMCommands.Cast.Spell.Inexistent:         주문이 존재하지 않습니다. Id={0}

## /crafting
GMCommands.Crafting.Description:			대상의 제작 레벨을 변경합니다
GMCommands.Crafting.Usage.Add:				'/crafting add <craftingSkillID> <startLevel>' 대상에게 새 제작 스킬을 추가합니다
GMCommands.Crafting.Usage.Change:			'/crafting change <craftingSkillID> <amount>' 대상의 제작 스킬 레벨을 올리거나 낮춥니다
GMCommands.Crafting.Usage.SalvageAdd:		/crafting salvageadd <SalvageYieldID (0 for next free)> <MaterialId_nb> <Count> [Realm] [PackageID]
