# (All)

## Tradeskill Names
Crafting.Name.Alchemy:					    연금술
Crafting.Name.Armorcraft:				    방어구 제작
Crafting.Name.BasicCrafting:			    기본 제작
Crafting.Name.Clothworking:				    천 가공
Crafting.Name.Evocation:				    주문 제작
Crafting.Name.Fletching:				    활 제작
Crafting.Name.Gemcutting:				    보석 세공
Crafting.Name.Herbcrafting:				    약초 제작
Crafting.Name.Leathercrafting:			    가죽 가공
Crafting.Name.Metalworking:				    금속 가공
Crafting.Name.Siegecraft:				    공성 제작
Crafting.Name.Tailoring:				    재봉
Crafting.Name.Weaponcraft:				    무기 제작
Crafting.Name.Woodworking:				    목재 가공

## Crafting Titles
CraftersTitle.Helper:						{0} 조수
CraftersTitle.JuniorApprentice:				초급 견습 {0}
CraftersTitle.Apprentice:					견습 {0}
CraftersTitle.Neophyte:						신입 {0}
CraftersTitle.Assistant:					보조 {0}
CraftersTitle.Junior:						하급 {0}
CraftersTitle.Journeyman:					숙련 {0}
CraftersTitle.Senior:						상급 {0}
CraftersTitle.Master:						마스터 {0}
CraftersTitle.Grandmaster:					그랜드마스터 {0}
CraftersTitle.Legendary:					전설의 {0}
CraftersTitle.LegendaryGrandmaster:			전설의 그랜드마스터 {0}

## Crafting Professions
CraftersProfession.Alchemist:				연금술사
CraftersProfession.Armorer:					방어구 제작자
CraftersProfession.Spellcrafter:			주문 제작자
CraftersProfession.Fletcher:				활 제작자
CraftersProfession.Tailor:					재봉사
CraftersProfession.Weaponcrafter:			무기 제작자
CraftersProfession.Siegecrafter:			공성 제작자
CraftersProfession.BasicCrafter:			기본 제작자

## Craft Master Dialogue
TailorsMaster.AcceptedByOrderName:			재봉사 조합
TailorsMaster.GuildOrder:				    재봉사
TailorsMaster.InitialEntersentence:			[재봉사] 조합에 가입하시겠습니까? 재봉사는 천과 가죽 방어구를 만들 수 있습니다. 재봉에 뛰어나고 활 제작에도 능숙하지만, 무기 제작과 방어구 제작은 어려울 것입니다. 숙련된 재봉사는 필요할 때 간단한 공성 제작도 수행할 수 있습니다.
SpellCraftingMaster.AcceptedByOrderName:	주문 제작자 조합
SpellCraftingMaster.GuildOrder:				주문 제작자
SpellCraftingMaster.InitialEntersentence:	[주문 제작자] 조합에 가입하시겠습니까? 주문 제작자는 제작 아이템에 주입해 새로운 마법 속성을 부여하는 보석을 만들 수 있습니다. 연금술에도 어느 정도 재능이 있으며, 보석 세공에도 뛰어납니다.
SiegecraftingMaster.AcceptedByOrderName:	공성 제작자 조합
SiegecraftingMaster.GuildOrder:				공성 제작자
