# Blacksmith NPC

## Examine
GameNPC.Blacksmith.YouTarget:				    [{0}]을(를) 대상으로 선택했습니다.
GameNPC.Blacksmith.YouExamine:				    {0}을(를) 살펴봅니다. {1}은(는) {2}이며 대장장이입니다.
GameNPC.Blacksmith.GiveObject:				    [수리할 아이템을 {0}에게 주기]

## Accept/Decline Repair
GameNPC.Blacksmith.Say:					        {0}: "무기나 방어구를 수리해 드릴 수 있습니다. 수리할 아이템을 건네주시면 약간의 비용으로 손봐 드리죠."
GameNPC.Blacksmith.RepairCostAccept:			{1}을(를) 수리하려면 {0}이(가) 듭니다. 수락하시겠습니까?
GameNPC.Blacksmith.YouPay:				        {0}에게 {1}을(를) 지불했습니다.
GameNPC.Blacksmith.AbortRepair:				    {0} 수리를 거절했습니다.

## Returns
GameNPC.Blacksmith.CantRepairThat:			    {0}: "그건 수리할 수 없습니다."
GameNPC.Blacksmith.StackedObjets:			    {0}은(는) 중첩된 아이템을 원하지 않습니다.
GameNPC.Blacksmith.NoNeedRepair:			    {0}은(는) 이미 완벽한 상태입니다.
GameNPC.Blacksmith.NotEnoughMoney:			    {0}: "{2}을(를) 수리하려면 {1}이(가) 듭니다. 돈이 부족하군요."
GameNPC.Blacksmith.ObjectRatherOld:			    {0}: "음, {1}은(는) 꽤 오래됐군요. 다시는 수리하지 못할 테니 조심하세요!"
GameNPC.Blacksmith.ItsDone:				        {0}: "됐습니다. {1}은(는) 이제 전투 준비가 끝났습니다."

## Not Used
GameNPC.Blacksmith.InvalidItem:				    잘못된 아이템입니다.
GameNPC.Blacksmith.ObjectCantRepaired:			이 오브젝트는 수리할 수 없습니다.
