# Languages
System.LanguagesName.EN:				영어
System.LanguagesName.IT:				이탈리아어
System.LanguagesName.FR:				프랑스어
System.LanguagesName.DE:				독일어
System.LanguagesName.KR:				한국어

# System
System.NoSense:								그건 말이 되지 않습니다!
System.MustSelectTarget:					대상을 선택해야 합니다!
System.ReleaseTimer:						해제 대기 시간
Weather.StormCloudsDisperse:                폭풍 구름이 흩어지며 하늘이 다시 맑아집니다!

# PlayerMovementComponent
PlayerMovementComponent.Encumbered:			소지품이 너무 무겁습니다.

# GameGraveStone
GameGravestone.GameGravestone.Grave:			{0}의 무덤

# GameGuard
GameGuard.GetExamineMessages.Examine:			{0}을(를) 살펴봅니다. {1}은(는) {2}이며 경비병입니다.

# GAMESTAICITEM
GameStaticItem.GetName.Article1:			{0}
GameStaticItem.GetName.Article2:			{0}

# ServerRules
ServerRules.Attack.Self:                    자기 자신은 공격할 수 없습니다!
ServerRules.Attack.RealmMember:             같은 렐름 구성원은 공격할 수 없습니다!
ServerRules.Attack.NoPlayerAttack:          이 서버에서는 다른 플레이어를 공격할 수 없습니다!
ServerRules.Attack.GroupMember:             그룹원은 공격할 수 없습니다.
ServerRules.Attack.GuildMember:             길드원은 공격할 수 없습니다.
ServerRules.Attack.BattlegroupMember:       배틀그룹 구성원은 공격할 수 없습니다.
ServerRules.Attack.SafeZone:                현재 안전 지대에 있어 여기서는 다른 플레이어를 공격할 수 없습니다.
ServerRules.Attack.FriendlyNpc:             우호적인 NPC는 공격할 수 없습니다!
ServerRules.Attack.TargetEnteringGame:      {0}은(는) 게임에 접속 중이라 잠시 PvP 공격에 면역입니다!
ServerRules.Attack.AttackerInvulnerablePlayers: PvP 무적 시간이 끝날 때까지 플레이어를 공격할 수 없습니다!
ServerRules.Attack.TargetInvulnerable:      {0}은(는) 잠시 PvP 공격에 면역입니다!
ServerRules.Attack.AttackerInvulnerable:    PvP 무적 시간이 끝날 때까지 공격할 수 없습니다!
ServerRules.Attack.ShadowedNecromancer:     그림자 상태의 네크로맨서는 공격할 수 없습니다!
ServerRules.Realm.NotMember:                {0}은(는) 당신의 렐름 구성원이 아닙니다!
ServerRules.Group.OtherRealm:               다른 렐름 플레이어와는 그룹을 맺을 수 없습니다!
ServerRules.Trade.EnemyRealm:               적 렐름과는 거래할 수 없습니다!
ServerRules.Speak.WhileDead:                음... 사망 상태에서는 {0}할 수 없습니다!
ServerRules.PvP.InvulnerabilityExpiredSafetyOn: 임시 무적 시간이 끝났지만 /safety 플래그는 아직 켜져 있습니다.
ServerRules.PvP.InvulnerabilityExpired:     임시 무적 시간이 끝났습니다.
ServerRules.Normal.Description:             표준 일반 서버 규칙
ServerRules.PvP.Description:                표준 PvP 서버 규칙
ServerRules.PvE.Description:                표준 PvE 서버 규칙
ServerRules.PvP.SafetyFlagOn:               PvP 안전 플래그가 켜져 있습니다.
ServerRules.PvP.TargetSafetyFlagOn:         {0}은(는) 안전 플래그가 켜져 있고 안전 지역에 있어 여기서는 공격할 수 없습니다.
ServerRules.Instance.AlreadyRunning:         이미 진행 중인 다른 인스턴스({0})에 플레이어가 있어 이동할 수 없습니다!
ServerRules.Instance.NeedMission:            이 지역에 들어가려면 적절한 임무가 필요합니다!
ServerRules.Reward.ReceiveMoney:             {0}을(를) 받았습니다
ServerRules.Reward.NotWorthRealmPoints:      {0}은(는) 최근에 처치되어 렐름 포인트를 받을 수 없습니다!
ServerRules.Reward.NotWorthExperience:       {0}은(는) 최근에 처치되어 경험치를 받을 수 없습니다!

# Inventory and item handling
Inventory.Change.Dead:                       사망 상태에서는 인벤토리를 변경할 수 없습니다!
Inventory.Horse.ActiveToSaddlebag:           활성화된 말을 안장 가방으로 옮길 수 없습니다!
Inventory.Equip.OtherRealm:                  다른 렐름의 아이템은 장착할 수 없습니다!
Inventory.Equip.ClassCannotUse:              현재 클래스는 이 아이템을 사용할 수 없습니다!
Inventory.Equip.NoWeaponSkill:               이 무기 종류를 사용할 기술이 없습니다!
Inventory.Equip.NoArmorSkill:                이 방어구 종류를 착용할 기술이 없습니다!
Inventory.Item.CantGoThere:                  {0}은(는) 그 슬롯에 넣을 수 없습니다!
Inventory.Item.NeedChampionLevel:            {0}을(를) 사용하려면 챔피언 레벨을 올려야 합니다.
Inventory.Item.CantPutActiveBarding:         {0}을(를) 활성 마갑 슬롯에 넣을 수 없습니다!
Inventory.Item.CantPutActiveHorseArmor:      {0}을(를) 활성 말 방어구 슬롯에 넣을 수 없습니다!
Inventory.Item.CantPutActiveMount:           {0}을(를) 활성 탈것 슬롯에 넣을 수 없습니다!
Inventory.Item.CantPutQuiver:                {0}은(는) 화살통에 넣을 수 없습니다!
Inventory.Destroy.CantDestroy:               {0}은(는) 파괴할 수 없습니다!
Inventory.Destroy.Relic:                     렐릭은 파괴할 수 없습니다!
Inventory.Destroy.Equipped:                  장착 중인 아이템은 파괴할 수 없습니다!
Inventory.Destroy.Success:                   {0}을(를) 파괴했습니다.
Inventory.Mythirian.NeedChampionLevel:       이 아이템을 장착하기 위한 챔피언 레벨 조건을 충족하지 못했습니다.
Inventory.Mythirian.WaterBreathing:          물속에서도 공기처럼 숨쉴 수 있게 되었습니다!
Inventory.Mythirian.WaterBreathingExpired:   숨이 턱 막히며, 더 이상 물속에서 숨쉴 수 없다는 것을 깨닫습니다!

# Training
Train.Champion.SpecNotFound:                 챔피언 전문화를 찾을 수 없습니다!
Train.Champion.AlreadyHaveAbility:           이미 해당 능력을 보유하고 있습니다!
Train.Champion.RequirementsNotMet:           해당 능력의 요구 조건을 충족하지 못했습니다!
Train.Champion.NotEnoughPoints:              해당 능력을 배우기 위한 챔피언 전문화 포인트가 부족합니다!
Train.RealmAbility.Cost:                     {0}에는 렐름 어빌리티 포인트 {1}점이 필요합니다!
Train.RealmAbility.NotEnoughPoints:          해당 능력을 배우기에 남은 렐름 어빌리티 포인트가 부족합니다.
Train.RealmAbility.NotExperiencedEnough:     아직 {0}을(를) 배우기에는 경험이 부족합니다. 나중에 다시 오세요.

# Merchant and trade
Merchant.Sell.SelectNpc:                     판매할 NPC를 선택해야 합니다.
Merchant.Withdraw.NoPermission:              이 상인에게서 돈을 출금할 권한이 없습니다!
Trade.InvalidTarget:                         올바르지 않은 거래 대상입니다.
Trade.InactivePlayer:                        비활성 플레이어와는 거래할 수 없습니다.
Trade.Self:                                  자기 자신과는 거래할 수 없습니다!
Trade.Repair.RecipientOnly:                  거래를 받은 사람만 수리를 시작할 수 있습니다.
Trade.Repair.OneItemOnly:                    한 번에 아이템 하나만 수리할 수 있습니다!
Trade.Repair.OwnerSideMustBeEmpty:           수리하려면 내 거래창이 비어 있어야 합니다!
Trade.Combine.RecipientOnly:                 거래를 받은 사람만 결합을 시작할 수 있습니다.
Trade.Combine.OneItemOnly:                   아이템은 하나로만 결합할 수 있습니다!
Trade.Accepted:                              {0}이(가) 거래를 수락했습니다.
Trade.NotEnoughMoney.Self:                   돈이 부족합니다.
Trade.NotEnoughMoney.Other:                  {0}의 돈이 부족합니다.
Trade.NotEnoughSpace.Self:                   인벤토리 공간이 부족합니다.
Trade.NotEnoughSpace.Other:                  {0}의 인벤토리 공간이 부족합니다.
Trade.Completed:                             거래가 완료되었습니다. 아이템 {0}개와 {1}개를 교환했습니다.
Trade.Money.ReceiveFormat:                   {0}을(를) 받았습니다.

# Dialog responses
Dialog.Guild.InviteDeclined:                 {0}이(가) 초대를 거절했습니다.
Dialog.Guild.StillInGuild:                   아직 길드에 속해 있습니다. 먼저 길드에서 탈퇴해야 합니다.
Dialog.Guild.InviterNotInGuild:              초대한 플레이어가 길드에 속해 있지 않습니다!
Dialog.Guild.NotInGuild:                     길드에 속해 있지 않습니다.
