# Titles
PlayerClass.GetTitle.none:		            없음

## Title Handler
GamePlayer.CurrentTitle.TitleCleared:			칭호가 해제되었습니다.

## Achievement-based Titles

### Keeps/Relics Claimed
Titles.Claim.Frontier.FrontierChallenger:	프론티어 도전자
Titles.Claim.Frontier.FrontierVindicator:	프론티어 응징자
Titles.Claim.Stronghold.StrongholdChief:	성채 지휘관
Titles.Claim.Stronghold.StrongholdSoldier:	성채 병사

### RvR Deathblows
Titles.Deathblows.BattleEnforcer:			전장의 집행자
Titles.Deathblows.BattleMaster:				전장의 달인

### RvR/PvE Kills
Titles.Kills.Albion.BaneOfAlbion:			알비온의 파멸
Titles.Kills.Albion.ScourgeOfAlbion:		알비온의 재앙
Titles.Kills.All.MasterAssassine:			마스터 암살자
Titles.Kills.All.MasterEnforcer:			마스터 집행자
Titles.Kills.All.MasterSoldier:				마스터 병사
Titles.Kills.Demon.DemonBane:				악마의 파멸
Titles.Kills.Demon.DemonScourge:			악마의 재앙
Titles.Kills.Demon.DemonSlayer:				악마 사냥꾼
Titles.Kills.Demon.DreadVanquisher:			공포의 정복자
Titles.Kills.Dragon.DragonFoe:				드래곤의 적
Titles.Kills.Dragon.DragonScourge:			드래곤의 재앙
Titles.Kills.Dragon.DragonSlayer:			드래곤 슬레이어
Titles.Kills.Epic.EpicChallenger:			에픽 도전자
Titles.Kills.Epic.EpicVictor:				에픽 승리자
Titles.Kills.Hibernia.BaneOfHibernia:		하이버니아의 파멸
Titles.Kills.Hibernia.ScourgeOfHibernia:	하이버니아의 재앙
Titles.Kills.Midgard.BaneOfMidgard:			미드가르드의 파멸
Titles.Kills.Midgard.ScourgeOfMidgard:		미드가르드의 재앙

### Solo Kills
Titles.Solokills.DuelMaster:				결투의 달인
Titles.Solokills.LoneEnforcer:				고독한 집행자

### Time Played
Titles.Time.Account.ElderTitle:				원로
Titles.Time.Character.Veteran:				베테랑

## Level-based Titles
Titles.Level.Level20Info:				    레벨 20+
Titles.Level.Level20:					    레벨 {0}

## Privilege Level Titles
Titles.PrivLevel.Administrator:				관리자
Titles.PrivLevel.Gamemaster:				게임마스터

## Champion Level Titles
Titles.CL.Level1:					        탐구자
Titles.CL.Level2:					        집행자
Titles.CL.Level3:					        선봉 기수
Titles.CL.Level4:					        빛의 인도자
Titles.CL.Level5:					        국왕의 챔피언
Titles.CL.Level6:					        국왕의 사절
Titles.CL.Level7:					        미노타우르의 후원자
Titles.CL.Level8:					        선지자
Titles.CL.Level9:					        검투사
Titles.CL.Level10:					        라비린스의 존재

## Master Level Titles
Titles.ML.Line1:					        베인로드
Titles.ML.Line2:					        배틀마스터
Titles.ML.Line3:					        컨보커
Titles.ML.Line4:					        퍼펙터
Titles.ML.Line5:					        소저너
Titles.ML.Line6:					        스파이마스터
Titles.ML.Line7:					        스톰로드
Titles.ML.Line8:					        워로드

## Class Titles

#### Mauler
PlayerClass.Mauler.GetTitle.50:		        마스터 마울러
PlayerClass.Mauler.GetTitle.45:		        싸움꾼
PlayerClass.Mauler.GetTitle.40:		        철권
PlayerClass.Mauler.GetTitle.35:		        격투가
PlayerClass.Mauler.GetTitle.30:		        십수
PlayerClass.Mauler.GetTitle.25:		        공격자
PlayerClass.Mauler.GetTitle.20:		        권투가
PlayerClass.Mauler.GetTitle.15:		        오조
PlayerClass.Mauler.GetTitle.10:		        돌손바닥
PlayerClass.Mauler.GetTitle.5:		        입문 마울러

### Albion
#### Armsman
PlayerClass.Armsman.GetTitle.50:	장군
PlayerClass.Armsman.GetTitle.45:	대장
PlayerClass.Armsman.GetTitle.40:	백인대장
PlayerClass.Armsman.GetTitle.35:	부관
PlayerClass.Armsman.GetTitle.30:	하사
PlayerClass.Armsman.GetTitle.25:	군단병
PlayerClass.Armsman.GetTitle.20:	병사
PlayerClass.Armsman.GetTitle.15:	보병
PlayerClass.Armsman.GetTitle.10:	보병 병사
PlayerClass.Armsman.GetTitle.5:		신병

#### Cabalist
