

Quests.Albion.AFewRepairs.Title:							몇 가지 수리
Quests.Albion.AFewRepairs.Description.Step1:				브라이스 야를리와 계속 대화하십시오.
Quests.Albion.AFewRepairs.Description.Step2:				무너진 탑 너머 북쪽 숲 가장자리에 고목 너도밤나무들이 있습니다. 몇 그루를 처치해 필요한 목재를 모으십시오.
Quests.Albion.AFewRepairs.Description.Step3:				고목 너도밤나무를 한 그루 더 처치하십시오. 야를리 농장 북쪽 숲에서 찾을 수 있습니다.
Quests.Albion.AFewRepairs.Description.Step4:				고목 목재를 패트릭 야를리에게 가져가십시오. 그는 서부 콘월의 울타리 근처에 있습니다.
Quests.Albion.AFewRepairs.Description.Step5:				남은 고목 목재를 패트릭 야를리에게 주십시오.
Quests.Albion.AFewRepairs.Description.Step6:				패트릭 야를리에게 {0}에 대해 물어보십시오.
Quests.Albion.AFewRepairs.Description.Step7:				야를리 농장 동쪽 언덕에서 황무지 부기를 찾아 처치하고 이빨을 모으십시오.
Quests.Albion.AFewRepairs.Description.Step8:				부기 이빨을 가지고 패트릭 야를리에게 돌아가십시오.
Quests.Albion.AFewRepairs.Notify.ReceiveElderWood:			고목 너도밤나무에게서 고목 목재를 얻었습니다! \n일지가 갱신되었습니다.
Quests.Albion.AFewRepairs.Notify.ReceiveBoogeyTeeth:		황무지 부기에게서 부기 이빨을 얻었습니다! \n일지가 갱신되었습니다.
Quests.Albion.AFewRepairs.Notify.Step4:						이 정도면 되겠군요. 혹시 목재를 더 구해 왔습니까?
Quests.Albion.AFewRepairs.Notify.Step5:						목재는 이만하면 충분합니다. 이 일을 마치려면 한 가지가 더 필요합니다. 이 {0}도 도와줄 수 있습니까?
Quests.Albion.AFewRepairs.Notify.Step8:						곧바로 수리를 시작하겠습니다. 훌륭히 해낸 일에 대한 보상입니다.
Quests.Albion.AFewRepairs.FinishQuest.AwardedMoney:			은화 81닢과 약간의 동화를 받았습니다!
Quests.Albion.AFewRepairs.AbortQuest.Ok:					좋습니다. 이제 나가서 맡은 일을 마무리하십시오!
Quests.Albion.AFewRepairs.AbortQuest.No:					퀘스트 {0}을(를) 중단합니다. 원한다면 다시 시작할 수 있습니다.
Quests.Albion.AFewRepairs.AcceptQuest.Ok:					훌륭합니다. 무너진 탑 너머 북쪽 숲 가장자리에 {0}들이 있습니다. 몇 그루를 베어 내면 이 일에 충분한 목재가 나올 겁니다.
Quests.Albion.AFewRepairs.AcceptQuest.No:					아쉽군요. 마음이 바뀌면 다시 와 주십시오!
Quests.Albion.AFewRepairs.BriceYarley.Const0:				고목 너도밤나무
Quests.Albion.AFewRepairs.BriceYarley.Const1:				문제
Quests.Albion.AFewRepairs.BriceYarley.Const2:				기예를 익히는 일
Quests.Albion.AFewRepairs.BriceYarley.Const3:				황무지 부기들
Quests.Albion.AFewRepairs.BriceYarley.Const4:				이 울타리를 유지
Quests.Albion.AFewRepairs.BriceYarley.Const5:				물자 모으기
Quests.Albion.AFewRepairs.BriceYarley.Const6:				중단
Quests.Albion.AFewRepairs.BriceYarley.Step1:				무너진 탑 너머 북쪽 숲 가장자리에 {0}들이 있습니다. 몇 그루를 베어 내면 이 일에 충분한 목재가 나올 겁니다.
Quests.Albion.AFewRepairs.BriceYarley.Start:				콘월에 온 것을 환영합니다, {0}. 우리 가족에게 약간의 문제가 있어, 당신이 도와준다면 정말 고맙겠습니다.
