Mid.StolenEggs.CheckPlayerAbortQuest.Text1:	좋습니다. 이제 나가서 일을 마무리하세요!
Mid.StolenEggs.CheckPlayerAbortQuest.Text2:	퀘스트 {0}을(를) 포기합니다. 원한다면 다시 시작할 수 있습니다.
Mid.StolenEggs.CheckPlayerAcceptQuest.Text1:	알겠습니다. 마음이 바뀌면 다시 찾아오세요!
Mid.StolenEggs.CheckPlayerAcceptQuest.Text2:	고맙습니다, {0}. 요르드하임 성문 근처에 있는 바이킹 힌들라와 이야기해 주세요. 이곳으로 오던 행인 몇 명이 길가에서 이상한 생물을 봤다고 합니다. 그녀에게 정확한 위치를 알려 줄 수 있는지 물어보세요. 다시 한 번 고맙습니다, {0}.
Mid.StolenEggs.Descriptiont.Text1:		[1단계] 요르드하임 성문 근처의 바이킹 힌들라를 찾으세요. 수상한 [아스케프루어] 행동을 보거나 들은 적이 있는지 물어보세요.
Mid.StolenEggs.Descriptiont.Text2:		[2단계] 하거펠로 향하세요. 하거펠에서 길을 따라 북북동쪽으로 이동하다가 나무 그루터기 두 개가 보이면, 네 그루의 나무가 모인 곳을 찾으세요. 그 생물이 그곳에 숨어 있습니다.
Mid.StolenEggs.Descriptiont.Text3:		[3단계] 아스케프루어 조련사를 처치하세요!
Mid.StolenEggs.Descriptiont.Text4:		[4단계] 이제 새끼 그리핀과 상호작용할 수 있습니다. 오른쪽 클릭으로 상호작용하세요.
Mid.StolenEggs.Descriptiont.Text5:		[5단계] 새끼 그리핀을 요르드하임 성문 근처의 그리핀 조련사 니에디에게 데려가세요. 그가 요구하면 채찍을 건네세요. 새끼 그리핀이 길을 잃더라도 니에디에게 가면 됩니다. 새끼 그리핀은 스스로 집을 찾아올 것입니다.
Mid.StolenEggs.Descriptiont.Text6:		[6단계] 그리핀 조련사 니에디와 이야기하세요.
Mid.StolenEggs.Descriptiont.Text7:		[7단계] 물란 근처 경비탑에 있는 달리코르에게 돌아가세요. 새끼 그리핀을 니에디에게 [무사히] 돌려보냈다고 말하세요.
Mid.StolenEggs.FinishQuest.Text1:		보상으로 {0}을(를) 받았습니다.
Mid.StolenEggs.InitGrifflet.NPCGrifflet:	새끼 그리핀
Mid.StolenEggs.Notify.Text1:			{0}이(가) 말합니다. "땅에 묶인 혐오스러운 것아, 정당하게 우리 것인 것을 가져가게 둘 수 없다!"
Mid.StolenEggs.Notify.Text2:			그 생물을 처치하고 아스케프루어 조련사의 손에서 채찍을 빼앗았습니다.
Mid.StolenEggs.Notify.Text3:			채찍이라고요?! 말도 안 됩니다! 그들은 이 아이를 고문하려 했던 게 분명합니다. 아스케프루어는 참으로 악의적인 생물입니다. 언젠가 당신이 그들을 쓸어버리길 바랍니다, {0}. 자, 이 작은 아이를 돌려준 [감사]의 표시로 받아 주세요.
Mid.StolenEggs.NPCAskefruerTrainer:		아스케프루어 조련사
Mid.StolenEggs.NPCGriffinHandlerNjiedi:		그리핀 조련사 니에디
Mid.StolenEggs.NPCVikingHyndla:			바이킹 힌들라
Mid.StolenEggs.QuestTitle:			도둑맞은 알
Mid.StolenEggs.TalkToDalikor.AbortQuest:	정말 이 퀘스트를 포기하시겠습니까? \n퀘스트 중 얻은 모든 아이템을 잃게 됩니다.
Mid.StolenEggs.TalkToDalikor.OfferQuest:	그리핀 알이 어디로 사라졌는지 알아봐 주시겠습니까?
Mid.StolenEggs.TalkToDalikor.Talk1:		돌아왔군요, 친구여. 또 다른 아스케프루어 문제가 생긴 듯합니다. 장로들은 경비병들을 초소에서 빼내 도움을 주는 것을 원치 않으니, 이번 일도 다시 당신에게 맡겨졌습니다. 상황을 [설명]하겠습니다.
Mid.StolenEggs.TalkToDalikor.Talk2:		아, 신병. 돌아왔군요. 임무를 [무사히] 마친 것으로 봐도 되겠습니까?
